Дата,Тсред,Тмин,Тмакс,Осадки всего,Направление ветра,Скорость ветра,Порывы ветра,Атмосферное Давление
2021-03-18,-5.8,-7.7,-3.6,0.0,240.0,17.5,,1030.0
2021-03-19,-5.9,-8.5,-2.5,0.0,172.0,27.3,,1023.4
2021-03-20,-2.2,-5.1,1.0,1.7,178.0,24.9,,1002.3
2021-03-21,-0.8,-2.7,0.2,0.6,246.0,26.5,,999.7
2021-03-22,-2.1,-4.0,0.0,1.0,223.0,11.6,,1010.8
2021-03-23,-4.6,-8.9,-1.8,0.1,285.0,6.4,,1014.2
2021-03-24,-5.6,-10.4,-1.2,0.0,253.0,21.0,,1013.3
2021-03-25,-2.6,-4.2,-0.4,1.0,256.0,24.2,,1010.6
2021-03-26,-2.1,-5.7,1.4,0.0,238.0,21.1,,1011.6
2021-03-27,-1.9,-4.5,0.6,1.2,207.0,14.3,,1008.6
2021-03-28,-1.3,-3.4,0.1,8.6,306.0,19.0,,1004.0
2021-03-29,-5.7,-6.9,-3.8,5.7,327.0,32.5,,1011.3
2021-03-30,-8.5,-10.9,-6.6,0.0,308.0,17.7,,1028.0
2021-03-31,-6.4,-9.9,-2.6,0.0,239.0,20.4,,1028.4
2021-04-01,-3.8,-7.9,-0.1,0.0,213.0,28.7,,1023.6
2021-04-02,0.8,-0.4,2.5,1.5,226.0,30.8,,1017.9
2021-04-03,1.0,-0.8,3.3,0.3,224.0,22.8,,1020.8
2021-04-04,0.4,-2.5,3.4,0.0,164.0,24.8,,1015.7
2021-04-05,1.9,0.4,3.4,0.1,171.0,20.4,,1005.3
2021-04-06,1.3,-0.4,3.3,0.1,239.0,30.5,,1013.1
2021-04-07,0.4,-3.4,4.2,0.0,246.0,17.1,,1023.1
2021-04-08,1.5,-3.3,4.6,0.0,126.0,19.7,,1024.6
2021-04-09,1.7,0.6,2.4,7.3,113.0,23.3,,1024.9
2021-04-10,0.5,-2.4,3.9,0.0,97.0,13.9,,1036.6
2021-04-11,-0.3,-6.4,4.5,0.0,188.0,9.8,,1040.5
2021-04-12,2.2,-1.2,5.5,0.5,250.0,14.9,,1032.6
2021-04-13,2.9,-2.4,7.3,0.0,289.0,10.3,,1036.5
2021-04-14,6.8,0.2,15.4,0.0,250.0,18.3,,1029.4
2021-04-15,11.1,3.7,19.8,0.0,257.0,15.6,,1022.1
2021-04-16,7.5,1.3,11.2,0.0,316.0,19.6,,1018.0
2021-04-17,1.6,-5.4,7.9,0.0,285.0,10.1,,1024.3
2021-04-18,2.2,-5.5,8.6,0.5,268.0,23.8,,1012.5
2021-04-19,-5.7,-10.2,-1.4,0.0,348.0,18.5,,1028.5
2021-04-20,-2.6,-9.1,3.1,0.0,288.0,13.7,,1029.4
2021-04-21,2.1,-2.1,5.8,0.0,351.0,18.3,,1026.6
2021-04-22,0.6,-5.4,6.7,0.0,119.0,10.3,,1041.7
2021-04-23,3.8,-2.1,9.9,0.0,168.0,16.5,,1042.0
2021-04-24,5.2,-1.7,11.2,0.0,169.0,14.7,,1034.5
2021-04-25,7.2,1.4,13.0,0.0,137.0,18.6,,1024.0
2021-04-26,8.2,3.1,13.5,0.2,205.0,16.7,,1016.0
2021-04-27,8.9,2.0,15.5,0.1,216.0,15.6,,1013.4
2021-04-28,10.1,6.1,15.4,3.0,269.0,11.2,,1008.5
2021-04-29,9.7,5.7,14.2,0.3,258.0,16.3,,1008.9
2021-04-30,8.1,3.1,13.4,0.2,266.0,18.6,,1013.1
2021-05-01,6.2,1.7,10.7,0.0,289.0,22.5,,1021.6
2021-05-02,11.9,2.4,20.4,0.0,206.0,24.6,,1021.5
2021-05-03,11.0,5.0,14.5,3.7,267.0,15.0,,1017.1
2021-05-04,9.9,1.2,17.1,0.0,226.0,16.5,,1021.7
2021-05-05,14.6,9.2,20.8,0.0,184.0,19.9,,1011.2
2021-05-06,14.5,9.8,19.6,0.0,244.0,22.2,,1002.7
2021-05-07,11.5,5.7,17.2,0.0,285.0,19.0,,1015.6
2021-05-08,15.3,5.9,23.1,0.0,257.0,9.9,,1018.6
2021-05-09,15.2,9.5,21.0,0.0,76.0,20.3,,1017.4
2021-05-10,12.7,8.9,17.3,0.0,68.0,21.4,,1022.5
2021-05-11,14.1,5.2,20.8,0.0,16.0,10.7,,1024.2
2021-05-12,15.0,9.2,20.7,0.0,305.0,17.6,,1021.6
2021-05-13,13.0,5.9,19.9,0.3,317.0,8.7,,1021.1
2021-05-14,16.0,6.4,23.3,0.0,329.0,8.7,,1024.5
2021-05-15,22.3,15.3,29.9,0.1,258.0,16.8,,1019.0
2021-05-16,22.7,16.8,29.5,0.0,296.0,18.3,,1014.2
2021-05-17,23.8,12.4,32.2,0.0,266.0,17.7,,1013.7
2021-05-18,20.7,14.6,26.4,0.2,310.0,16.7,,1009.6
