time,Тсред,Тмин,Тмакс,Осадки всего,Направление ветра,Скорость ветра,Порывы ветра,Давление на уровне моря
2020-02-17,-7.7,-12.5,-5.0,2.8,304.0,11.1,,1023.6
2020-02-18,-6.4,-9.9,-4.0,1.5,245.0,20.7,,1022.3
2020-02-19,-0.6,-7.0,0.8,0.5,240.0,16.2,,1014.3
2020-02-20,-3.3,-3.0,-1.5,0.3,242.0,19.8,,1018.3
2020-02-21,-5.6,-5.0,-3.2,0.3,245.0,8.9,,1018.4
2020-02-22,-3.7,-12.2,-0.4,0.0,289.0,6.5,,1021.6
2020-02-23,-4.8,-6.7,-2.8,0.5,347.0,7.8,,1027.7
2020-02-24,-9.5,-12.7,-5.4,0.5,102.0,10.5,,1026.6
2020-02-25,-8.3,-14.2,-6.2,,155.0,16.7,,1024.5
2020-02-26,-5.6,-9.4,-4.0,2.3,122.0,27.6,,1014.1
2020-02-27,-1.1,-4.4,1.1,9.9,202.0,15.8,,997.9
2020-02-28,0.4,-5.2,2.1,0.5,245.0,14.6,,1019.6
2020-02-29,-0.1,0.0,2.2,0.0,225.0,15.2,,1025.5
2020-03-01,-1.8,-2.0,0.6,0.0,167.0,15.8,,1020.7
2020-03-02,-5.6,-8.5,0.2,0.0,3.0,12.9,,1014.2
2020-03-03,-5.7,-13.3,-1.9,0.0,239.0,10.7,,1021.0
2020-03-04,-2.2,-4.0,-0.2,0.0,250.0,14.7,,1017.2
2020-03-05,-8.3,-11.0,-3.3,0.3,287.0,15.9,,1016.0
2020-03-06,-14.4,-13.0,-9.9,0.0,321.0,19.1,,1030.0
2020-03-07,-10.4,-20.8,-5.9,0.0,239.0,17.6,,1035.1
2020-03-08,-4.8,-7.6,-2.0,0.0,238.0,18.9,,1027.4
2020-03-09,-2.4,-4.1,-1.5,0.0,244.0,20.3,,1019.8
2020-03-10,-5.4,-11.0,-2.0,0.3,228.0,9.3,,1027.3
2020-03-11,-5.8,-10.6,1.0,,192.0,8.8,,1026.3
2020-03-12,-2.2,-6.6,3.6,0.0,229.0,14.1,,1024.5
2020-03-13,-4.2,-9.2,4.7,0.0,190.0,8.9,,1019.5
2020-03-14,0.0,-7.8,2.9,0.3,203.0,12.9,,1006.6
2020-03-15,2.1,0.6,3.1,0.0,196.0,17.4,,1008.8
2020-03-16,0.5,-1.0,4.3,0.0,259.0,20.6,,1015.0
2020-03-17,-0.2,-2.8,1.6,0.0,147.0,18.5,,1015.0
2020-03-18,-1.1,-3.2,1.6,0.0,257.0,20.1,,1017.8
2020-03-19,0.6,-2.9,2.8,0.0,233.0,16.4,,1015.6
2020-03-20,2.0,-1.5,5.1,0.0,234.0,23.1,,1006.4
2020-03-21,2.0,0.6,4.0,2.3,189.0,15.9,,998.6
2020-03-22,-3.5,-6.0,2.3,0.5,271.0,24.9,,1007.5
2020-03-23,-4.4,-7.6,-1.3,0.0,334.0,5.9,,1032.6
2020-03-24,-4.6,-8.2,-0.7,0.0,287.0,7.8,,1040.6
2020-03-25,-4.0,-8.5,0.4,0.0,247.0,14.6,,1041.0
2020-03-26,0.1,-7.0,3.6,,223.0,19.2,,1030.4
2020-03-27,0.2,-2.0,4.0,0.8,256.0,16.7,,1015.4
2020-03-28,-0.3,-4.3,4.0,0.0,291.0,13.2,,1020.1
2020-03-29,1.9,-4.9,8.3,0.0,229.0,12.3,,1023.0
2020-03-30,3.4,-1.1,10.0,0.0,219.0,15.3,,1023.0
2020-03-31,2.9,-4.2,10.0,0.0,200.0,9.5,,1021.8
2020-04-01,4.8,-1.1,9.2,0.0,158.0,14.0,,1013.9
2020-04-02,7.5,3.0,15.8,0.0,199.0,20.9,,1004.7
2020-04-03,3.2,-1.8,8.7,0.0,249.0,13.7,,1022.4
2020-04-04,5.8,-1.3,12.0,0.0,117.0,13.8,,1029.9
2020-04-05,7.6,1.9,14.6,0.0,134.0,23.7,,1016.9
2020-04-06,7.8,2.6,13.4,0.0,232.0,15.3,,1011.7
2020-04-07,5.5,2.0,14.0,0.3,163.0,26.7,,1001.1
2020-04-08,0.0,-1.0,4.4,0.0,233.0,43.4,,1005.6
2020-04-09,1.4,-5.1,5.1,0.0,225.0,23.9,,1020.7
2020-04-10,2.7,-4.0,8.0,0.5,180.0,11.3,,1025.5
2020-04-11,7.7,-1.0,17.0,0.0,200.0,7.4,,1024.1
2020-04-12,8.9,-0.1,16.0,,119.0,14.7,,1019.1
2020-04-13,10.6,5.7,18.0,,167.0,16.7,,1011.4
2020-04-14,8.0,3.0,16.2,,205.0,11.3,,1015.0
2020-04-15,3.8,0.0,8.0,2.5,214.0,13.4,,1016.9
2020-04-16,7.9,-2.0,18.0,,226.0,10.4,,1020.2
2020-04-17,13.1,3.0,21.0,,183.0,14.7,,1018.6
2020-04-18,15.9,8.0,23.0,,180.0,20.9,,1015.7
